rang,franska,ordklass,genus,svenska,mening_franska,mening_svenska,bonusord,notering
232,téléphone,substantiv,m,telefon,Mon téléphone est... où est mon téléphone ?!,Min telefon är... var är min telefon?!,,gratisord! au téléphone = i telefon
233,appeler,verb,,att ringa; kalla,Je t'appelle demain.,Jag ringer dig imorgon.,te = dig (t' före vokal),"släkt med s'appeler; j'appelle, tu appelles"
234,week-end,substantiv,m,helg,Bon week-end !,Trevlig helg!,,"gratisord! mönstret bon/bonne + X: bon voyage, bonne nuit"
235,vacances,substantiv,f,"semester, lov",On est en vacances !,Vi har semester!,,alltid plural; en vacances = på semester
236,film,substantiv,m,film,On regarde un film ce soir ?,Ska vi kolla på film ikväll?,,gratisord!
237,fête,substantiv,f,fest,C'est la fête !,Det är fest!,,"nästan gratis: fête ≈ fest; ^ = försvunnet s: fête/fest, forêt/forest, hôpital/hospital – gratisords-detektorn!"
238,anniversaire,substantiv,m,födelsedag,Bon anniversaire !,Grattis på födelsedagen!,,ordagrant årsdag; sången: Joyeux anniversaire
239,jeu,substantiv,m,"spel, lek",C'est un jeu d'enfant !,Det är en barnlek!,,= lätt som en plätt; jeu de mots = ordvits
240,carte,substantiv,f,kort; karta; meny,Je fais ça avec un jeu de cartes.,Jag gör det där med en kortlek.,,jeu de cartes = kortlek – demo-ordet; även carte bancaire = bankkort
241,numéro,substantiv,m,nummer,Je peux avoir ton numéro ?,Kan jag få ditt nummer?,chiffre (m) = siffra,"gratisord! numéro = nummer i serie, chiffre = siffra"
242,se souvenir,verb,,att minnas,Je me souviens de tout !,Jag minns allt!,,"ditt yrkesverb! reflexivt: je me souviens, tu te souviens; se souvenir de"
243,montrer,verb,,att visa,Je te montre quelque chose ?,Ska jag visa dig en grej?,,öppningen inför varje minnestrick
244,chercher,verb,,att leta efter,Je cherche la gare.,Jag letar efter stationen.,,Je cherche mes mots = jag letar efter orden – ärlig inlärarfras
245,perdre,verb,,"att tappa, förlora",J'ai perdu mon téléphone !,Jag har tappat min telefon!,,j'ai perdu – dåtidsfröet växer (avoir + perdu); motsats: trouver
246,ouvrir,verb,,att öppna,"Tu peux ouvrir la porte, s'il te plaît ?","Kan du öppna dörren, tack?",la porte = dörr,s'il te plaît = du-versionen av s'il vous plaît; j'ouvre
247,fermer,verb,,att stänga,Ferme les yeux !,Blunda!,,så börjar varje minnestrick; fermé = skyltordet stängt
248,marcher,verb,,att gå; funka,Ça marche !,"Det funkar! / Okej, kör så!",,dubbelbetydelse: promenera och fungera
249,essayer,verb,,"att försöka, prova",On essaie ?,Ska vi testa?,,essayer de + infinitiv = försöka att; j'essaie
250,adorer,verb,,att älska,J'adore la France !,Jag ÄLSKAR Frankrike!,,gratisord! starkare än aimer för saker; J'adore ! = Jag älskar det!
251,enfin,adverb,,äntligen; till slut,Enfin ! Kalle dort !,Äntligen! Kalle sover!,,även utfyllnad: enfin bref = hur som helst
252,bientôt,adverb,,snart,À bientôt !,Vi ses snart!,,bien + tôt; à-serien växer
253,tout de suite,uttryck,,"genast, direkt",J'arrive tout de suite !,Jag kommer direkt!,,uttal [toddsvitt]
254,longtemps,adverb,,länge,Ça fait longtemps !,Det var längesen!,,long + temps = lång tid; franskan mäter tid med faire
255,moins,adverb,,"mindre, färre","Moins vite, s'il vous plaît !","Långsammare, tack!",,motsats till plus; au moins = åtminstone; livräddare nr 2
256,mieux,adverb,,bättre,Ça va mieux.,Det går bättre.,,tant mieux ! = desto bättre!
257,assez,adverb,,nog; ganska,C'est assez facile.,Det är ganska lätt.,,J'en ai assez ! = Jag har fått nog!; assez de = tillräckligt med
258,par exemple,uttryck,,till exempel,"En France, par exemple...","I Frankrike, till exempel...",exemple (m) = exempel – gratisord!,diskursguld
259,chance,substantiv,f,tur,Bonne chance !,Lycka till!,,J'ai de la chance ! = Jag har tur!; nästan gratis via chans
260,plaisir,substantiv,m,nöje,Avec plaisir !,Gärna! / Med nöje!,,artighetsguld – funkar även som svar på merci
261,avoir raison,uttryck,,att ha rätt,Tu as raison !,Du har rätt!,,motsats: avoir tort = ha fel; raison ≈ reson
262,avoir besoin de,uttryck,,att behöva,J'ai besoin d'un café.,Jag behöver en kaffe.,,ordagrant ha behov av; + substantiv eller infinitiv
263,avoir envie de,uttryck,,att vara sugen på,J'ai envie d'une glace.,Jag är sugen på en glass.,,envie de + infinitiv = ha lust att
264,avoir peur,uttryck,,att vara rädd,Je n'ai pas peur !,Jag är inte rädd!,,"avoir peur de = rädd för; franskan HAR rädsla, hunger, törst, rätt"
265,heureux / heureuse,adjektiv,,"lycklig, glad",Je suis très heureux ici.,Jag är väldigt lycklig här.,,uttal [örö]; Heureusement ! = Som tur var!
266,triste,adjektiv,,"ledsen, sorglig",C'est un peu triste.,Det är lite sorgligt.,,nästan gratis: svenskans trist kommer från franskan
267,avoir faim,uttryck,,att vara hungrig,J'ai faim ! On mange ?,Jag är hungrig! Ska vi äta?,,uttal nasalt [fäng]
268,avoir soif,uttryck,,att vara törstig,Tu as soif ? Il y a de l'eau.,Är du törstig? Det finns vatten.,,
269,pain,substantiv,m,bröd,"Du pain, s'il vous plaît !","Lite bröd, tack!",,på restaurang kommer brödet automatiskt – och gratis
270,fromage,substantiv,m,ost,Il y a plus de 300 fromages en France !,Det finns över 300 ostar i Frankrike!,,"plus de + tal = över; -age = nästan alltid maskulint (fromage, voyage, garage)"
271,viande,substantiv,f,kött,C'est quoi comme viande ?,Vad är det för kött?,,c'est quoi comme X ? = vad är det för sorts X?
272,poisson,substantiv,m,fisk,Le poisson est très bon ici.,Fisken är väldigt god här.,,poisson (fisk) vs poison (gift) – dubbel-s räddar liv!
273,poulet,substantiv,m,kyckling,"Pour moi, le poulet, s'il vous plaît.","Kycklingen till mig, tack.",,på restaurang beställer man med le/la
274,petit-déjeuner,substantiv,m,frukost,Le petit-déjeuner est à quelle heure ?,När serveras frukosten?,,"trion: petit-déjeuner, déjeuner (lunch), dîner (middag) – även verb"
275,délicieux / délicieuse,adjektiv,,utsökt,"C'était délicieux, merci !","Det var utsökt, tack!",,"säg det till värden – garanterad succès (= succé, gratis)"
276,cuisine,substantiv,f,kök; matlagning,J'adore la cuisine française !,Jag älskar franska köket!,,cuisiner = laga mat
277,à droite,uttryck,,till höger,C'est à droite.,Det är till höger.,,la main droite = höger hand
278,à gauche,uttryck,,till vänster,La gare est à gauche.,Stationen är till vänster.,,
279,tout droit,uttryck,,rakt fram,"Tout droit, puis à gauche.","Rakt fram, sen till vänster.",,droit (rakt) vs droite (höger) – lömsk skillnad!
280,loin,adverb,,långt (borta),C'est loin d'ici ?,Är det långt härifrån?,,motsats: près de
281,devant,preposition,,framför,On est devant l'hôtel.,Vi står framför hotellet.,,mötesplatsfrasen
282,derrière,preposition,,bakom,C'est juste derrière la gare.,Det är precis bakom stationen.,,
283,à côté (de),uttryck,,bredvid,Le café est à côté du cinéma.,Kaféet ligger bredvid bion.,,côté = sida; à côté ensamt = intill
284,midi,substantiv,m,klockan tolv; lunchtid,On mange à midi ?,Ska vi äta klockan tolv?,,minuit = midnatt; le Midi = södra Frankrike
285,demi / demie,adjektiv,,halv,Il est deux heures et demie.,Klockan är halv tre.,,VARNING: franskan säger två och en halv där svenskan säger halv tre; un demi = liten öl
286,cent,räkneord,,hundra,Ça coûte cent euros.,Det kostar hundra euro.,mille = tusen,"tiotal: vingt, trente, quarante, cinquante, soixante; 70 = soixante-dix, 80 = quatre-vingts, 90 = quatre-vingt-dix – mental aritmetik!"
287,écrire,verb,,att skriva,J'ai écrit un livre sur la mémoire.,Jag har skrivit en bok om minnet.,,j'écris; écrit = particip; sur = även om (ämne)
288,envoyer,verb,,att skicka,Je t'envoie une photo.,Jag skickar en bild till dig.,message (m) = meddelande – gratisord!,j'envoie; envoyer un message
289,espérer,verb,,att hoppas,J'espère que oui !,Jag hoppas det!,,j'espère que + mening; som je pense que
290,laisser,verb,,att låta; lämna,Laisse tomber !,Strunta i det!,tomber = att falla,ordagrant låt falla; Je laisse ça ici = Jag lämnar det här
291,rentrer,verb,,att åka hem,On rentre à la maison ?,Ska vi åka hem?,,"la rentrée = skolstarten, hela Frankrikes nyår i september"
292,se coucher,verb,,att lägga sig,Je vais me coucher.,Jag ska lägga mig.,,se lever = gå upp; Kalle se couche tôt... et se lève tôt !
293,préférer,verb,,att föredra,Je préfère le train.,Jag föredrar tåget.,,gratisord (preferera)! Tu préfères quoi ?
294,visiter,verb,,att besöka,On visite Paris ce week-end.,Vi besöker Paris i helgen.,,visiter = platser; besöka personer = aller voir
295,changer,verb,,"att byta, ändra",On change de table ?,Ska vi byta bord?,,changer de + substantiv = byta X; nästan gratis (changera)
296,vivre,verb,,att leva; bo,On ne vit qu'une fois !,Man lever bara en gång!,,"ne ... que = bara; je vis; vivre = leva stort, habiter = bo (adress)"
297,porter,verb,,att bära; ha på sig,"Je porte un t-shirt, c'est bon ?","Jag har på mig en t-shirt, funkar det?",t-shirt (m) = t-shirt – gratisord!,porter = både bära och ha på sig
298,histoire,substantiv,f,historia; berättelse,C'est une longue histoire...,Det är en lång historia...,longue = lång (fem. av long),histoire = ämnet OCH en berättelse
299,place,substantiv,f,plats; torg,Il y a de la place ici !,Det finns plats här!,,även torg (Place de la Concorde) och sittplats
300,magasin,substantiv,m,"affär, butik",Le magasin ferme à quelle heure ?,När stänger affären?,boutique (f) = liten butik – gratisord!,milstolpe: 300!
301,en (pronomen),pronomen,,"av det, av dem",J'en ai deux !,Jag har två (av dem)!,,en ersätter de/du/des + substantiv; Il y en a = det finns; flyt-vapen nr 1
302,le / la / les (objekt),pronomen,,"den, det, honom, henne",Je le sais !,Jag vet (det)!,,"objektet hoppar FÖRE verbet: je le sais, je la vois, je les aime"
303,quand même,uttryck,,ändå,C'est bien quand même !,Det är bra ändå!,,även som utrop: Quand même ! = Ändå! / Faktiskt!
304,en fait,uttryck,,"faktiskt, egentligen","En fait, c'est facile !",Faktiskt är det lätt!,,franskans vanligaste diskursmarkör; uttal [angfätt]
305,du coup,uttryck,,"så, alltså, därför","Du coup, on y va ?",Så... ska vi dra då?,,ungas favoritord – strössla lagom
306,franchement,adverb,,ärligt talat,"Franchement, c'est super.",Ärligt talat är det toppen.,,franc + -ment; -ment = adverbfabriken (-t/-ligt)
307,malheureusement,adverb,,tyvärr,"Malheureusement, c'est fermé.",Tyvärr är det stängt.,,mal + heureusement; heureusement = som tur var
308,surtout,adverb,,framför allt,"J'aime la France, surtout la cuisine.","Jag älskar Frankrike, framför allt maten.",,Surtout pas ! = Absolut inte!
309,seulement,adverb,,"bara, endast",C'est seulement le premier jour.,Det är bara första dagen.,,seul + -ment; synonym till juste och ne...que
310,parfois,adverb,,ibland,"Parfois, c'est difficile.",Ibland är det svårt.,,talspråk även: des fois
311,là-bas,adverb,,där borta,C'est là-bas !,Det är där borta!,,trion: ici – là – là-bas
312,quelque part,uttryck,,någonstans,J'ai vu ça quelque part...,Jag har sett det där någonstans...,,sagt med glimten i ögat av en minnesmästare; nulle part = ingenstans
313,partout,adverb,,överallt,Il y a de l'eau partout !,Det är vatten överallt!,,småbarnsförälderns lägesrapport
314,plusieurs,adjektiv,,flera,J'ai plusieurs idées.,Jag har flera idéer.,,"alltid plural, ingen artikel"
315,tout à l'heure,uttryck,,strax; nyss,À tout à l'heure !,Vi ses strax!,,lurigt dubbelriktat: framtid ELLER dåtid beroende på tempus
316,on verra,uttryck,,vi får se,On verra demain !,Vi får se imorgon!,,verra = futur av voir; framtidens svar på allt
317,avenir,substantiv,m,framtid,"L'avenir, c'est l'intelligence artificielle ?",Är framtiden artificiell intelligens?,l'intelligence artificielle (l'IA) – gratisord!,podd-ön nr 1; le futur = gratis synonym
318,fin,substantiv,f,slut,C'est déjà la fin ?,Är det redan slut?,,à la fin = till slut; FIN = bioslutet
319,début,substantiv,m,början,C'est juste le début !,Det är bara början!,,au début = i början; débutant = nybörjare (debutant!)
320,âge,substantiv,m,ålder,Tu as quel âge ?,Hur gammal är du?,,svar med avoir: J'ai trente ans; -age maskulint – regeln håller
321,vouloir dire,uttryck,,att betyda,Ça veut dire quoi ?,Vad betyder det?,,överlevnadsfras – ordagrant vill säga
322,expliquer,verb,,att förklara,Vous pouvez expliquer ?,Kan ni förklara?,,une explication = en förklaring
323,raconter,verb,,att berätta,Raconte !,Berätta!,,raconter une histoire = berätta en historia
324,répondre,verb,,att svara,Il ne répond pas au téléphone.,Han svarar inte i telefon.,,une réponse = ett svar; je réponds
325,poser,verb,,"att ställa, lägga",Je peux poser une question ?,Får jag ställa en fråga?,,poser une question – snyggare än demander här
326,deviner,verb,,att gissa,Devine !,Gissa!,,demo-ordet; till publik: Devinez !
327,gagner,verb,,att vinna; tjäna,J'ai gagné deux fois !,Jag har vunnit två gånger!,,sant! gagner de l'argent = tjäna pengar
328,réussir,verb,,att lyckas,Tu vas réussir !,Du kommer att lyckas!,,motsats: rater = missa/misslyckas
329,rencontrer,verb,,att träffa,On a rencontré des gens super.,Vi träffade jättetrevligt folk.,,une rencontre = ett möte
330,inviter,verb,,att bjuda (in),Je t'invite !,Jag bjuder!,,gratisord (invitera)! på restaurang = jag betalar
331,discuter,verb,,"att diskutera, prata",On discute de tout.,Vi pratar om allt.,,gratisord! discuter de + ämne
332,décider,verb,,att bestämma,C'est décidé !,Det är bestämt!,,une décision = ett beslut (gratis!)
333,accepter,verb,,"att acceptera, tacka ja",J'accepte avec plaisir !,Jag tackar ja med nöje!,,gratisord!
334,manquer,verb,,att saknas; missa,Tu me manques !,Jag saknar dig!,,VARNING baklänges: ordagrant du fattas mig; Kalle me manque = jag saknar Kalle
335,ne t'inquiète pas,uttryck,,oroa dig inte,"Ne t'inquiète pas, ça va !","Oroa dig inte, det är lugnt!",,s'inquiéter = oroa sig; artigt: ne vous inquiétez pas; talspråk: t'inquiète !
336,utiliser,verb,,att använda,J'utilise ma mémoire tous les jours !,Jag använder mitt minne varje dag!,,tous les jours = varje dag (tous les + tid)
337,continuer,verb,,att fortsätta,On continue !,Vi fortsätter!,,continuer à + infinitiv
338,arrêter,verb,,att sluta; stanna,Arrête !,Sluta!,,s'arrêter = stanna; sans arrêt = oavbrutet
339,devenir,verb,,att bli,Kalle devient grand !,Kalle blir stor!,,être-verb i dåtid: il est devenu; je deviens
340,suivre,verb,,att följa,Suivez-moi sur TikTok !,Följ mig på TikTok!,,din CTA! je suis = både jag är OCH jag följer – être och suivre delar form
341,tenir,verb,,att hålla,Tiens !,Här! / Jaså!,,universalinterjektion: räcka över ngt eller visa förvåning; Tiens tiens !
342,courir,verb,,att springa,Kalle ne court pas encore !,Kalle springer inte än!,,je cours; particip: couru
343,nager,verb,,att simma,On va nager avec Kalle.,Vi ska simma med Kalle.,,babysim = bébés nageurs; la natation = simning
344,toucher,verb,,att röra,Ne touche pas !,Rör inte!,,föräldrafrasen; talspråk: Pas touche !
345,garder,verb,,att behålla; passa,Tu peux garder Kalle ce soir ?,Kan du passa Kalle ikväll?,,garder = behålla OCH passa barn
346,chien,substantiv,m,hund,C'est ton chien ?,Är det din hund?,,hälsa på hundägare = fransk småpratsklassiker
347,chat,substantiv,m,katt,Le chat dort tout le temps.,Katten sover jämt.,,tout le temps = jämt; t tyst: [scha]
348,oiseau,substantiv,m,fågel,"Regarde l'oiseau, Kalle !","Titta på fågeln, Kalle!",,"-eau = maskulint, regeln håller; plural: oiseaux"
349,animal,substantiv,m,djur,Tu préfères quel animal ?,Vilket djur gillar du bäst?,,gratisord! plural: animaux [animå]
350,jardin,substantiv,m,trädgård,Un robot travaille dans mon jardin !,En robot jobbar i min trädgård!,robot (m) = robot – gratisord!,sant – robotgräsklipparen; jardin ≈ eng. garden
351,arbre,substantiv,m,träd,Il y a un grand arbre dans le jardin.,Det står ett stort träd i trädgården.,,arbre ≈ latinets arbor
352,fleur,substantiv,f,blomma,Des fleurs pour Jessica !,Blommor till Jessica!,,"-eur på saker ofta feminint: la fleur, la couleur"
353,mer,substantiv,f,hav,On va à la mer ?,Ska vi åka till havet?,,mer/mère/maire (hav/mamma/borgmästare) uttalas exakt likadant!
354,plage,substantiv,f,strand,La plage est belle ici.,Stranden är fin här.,,UNDANTAGET: feminint trots -age – palatstest nr 2!
355,montagne,substantiv,f,berg,J'aime la montagne.,Jag gillar bergen.,,à la montagne = i bergen/på fjället
356,ciel,substantiv,m,himmel,Le ciel est beau ce soir.,Himlen är vacker ikväll.,,plural: cieux (poetiskt)
357,terre,substantiv,f,jord,"Sur Terre, il y a 196 pays !",På jorden finns 196 länder!,,"din videosiffra! la Terre = planeten, la terre = jord/mark"
